word,mean,similar
뉴비,어떤 직업에 대한 무경험자를 지칭합니다.,초보자
Newb,어떤 직업에 대한 무경험자를 지칭합니다.,초보자
딸배,배달사원을 비하하는 말을 의미합니다.,배달원
믿거,믿고 거르는의 줄임말 입니다.,"의심의 여지 없이 걸러야 할, 믿고 거르는, 믿고 걸러야"
인조새,인생 조진 새끼의 줄임말 입니다.,"힘든 일을 겪고 있는 사람, 힘든 일을 겪고 있는 사람이"
낄끼빠빠,낄 때 끼고 빠질 때 빠져라의 줄임말 입니다.,"낄 때 끼고 빠질 때 빠진다, 낄 때 끼고 빠질 때 빠짐"
답정너,답은 정해져 있고 너는 대답만 해라의 줄임말 입니다.,"답을 정해놓은 상태에서 대답만 해라, 답을 정해놓은 상태에서 대답만 해"
비담,비주얼 담당의 줄임말 입니다.,비주얼 담당
취존,취향 존중의 줄임말 입니다.,취향존중
핑프,"핑거 프린세스의 줄임말로, 시키기만 하는 사람을 일컫는 말입니다.","시키기만 하는 사람이, 시키기만 하는 사람"
케바케,Case by case의 줄임말 입니다.,상황에 따라 다름
솔까말,솔직히 까놓고 말해서의 줄임말 입니다.,솔직히 말해서
자낳괴,자본주의가 낳은 괴물의 줄임말 입니다.,"자본주의가 낳은 괴물, 자본주의가 낳은 괴물이"
넌씨눈,넌 시X 눈치도 없냐의 줄임말 입니다.,"넌  눈치도 없다, 넌  눈치도 없음"
자만추,자연스러운 만남 추구의 줄임말 입니다.,자연스러운 만남을 추구
정줄놓,정신줄을 놓다의 줄임말 입니다.,"정신을 놓다, 정신을 놓은 사람"
정뚝떨,정이 뚝 떨어진다의 줄임말 입니다.,"정이 뚝 떨어진다, 정이 뚝 떨어지는 사람 "
애빼시,애교 빼면 시체의 줄임말 입니다.,애교를 빼면 시체
좋댓구알,좋아요 댓 글 구독 알림설정 의 줄임말 입니다.,좋아요와 댓글 구독 알림 설정
개이득,"정말로라는 뜻으로도 쓰이는 접두사 개-와 이득이 함께 쓰인 파생어로, 줄여서 ㄱㅇㄷ이라고도 사용됩니다.","정말로 유익하다, 정말로 유익, 정말로 유익함"
주린이,주식 처음 해보는 사람을 일컫는 말입니다.,주식 초보자
복돌이,불법 복제품을 사용하는 사람을 일컫는 말입니다.,복제품 사용자
덕통사고,덕후' + '교통사고' 교통사고처럼 갑작스럽게 누군가나 무언가의 덕후가 되었음을 뜻하는 표현입니다.,"덕후가 갑작스럽게 만들어지는 것, 갑자기 덕후가 됨을 "
득템,획득'의 '得' + 'Item 얻는다는 뜻의 한자인 得(득)과 영어 아이템(item)의 합성어입니다.,"아이템을 획득하는 것, 아이템을 획득"
발컨,발'+'control: 발로 하는 것처럼 컨트롤을 못하는 것을 의미합니다.,"컨트롤하지 못하는 것, 컨트롤 못"
어쩔티비,어쩌라고 가서 티비나 봐의 줄임말 입니다.,어쩌라고
웃프네,웃기면서 슬픈 상황을 의미합니다.,웃기고 슬프네
웃프다,웃기면서 슬픈 상황을 의미합니다.,웃기고 슬프다
역대급,(역)사에 남을만한 (대)단히 높은 (급)이라는 뜻입니다.,역사적인 수준의 높음
자존감,자존심'의 '自尊' + 감정을 나타내는 접미어의 합성어입니다.,자아 존중감
미러링,컴퓨터 기술 용어지만 적대 진영에 대해 똑같은 방법으로 응징한다는 뜻입니다.,반대로 응징하는 것
밈,문화가 전파되는 현상을 뜻을 의미합니다.,문화 전파 현상
성지,"종교적인 의미의 단어지만, 유명 작품의 배경이나 인터넷 유행요소 원본 같은 특별한 이유로 유명해진 장소와 그 장소를 방문하는 무대탐방을 의미하는 신조어입니다.",유명 장소
세계관,원래는 현실 세계에 대한 생각을 의미합니다.,세계에 대한 생각
